,age,education,spouse_education,children,religion,work,spouse_occupation,living_standard,media_exposure,contraceptive_method
1358,26,4,4,2,1,1,3,3,0,3
329,39,3,4,1,0,1,3,4,0,1
349,25,3,3,1,1,1,3,1,0,1
535,24,2,4,2,1,1,3,3,0,2
937,28,4,4,3,0,0,3,4,0,3
681,23,4,3,1,1,1,2,2,0,3
1028,40,2,2,8,1,1,1,3,0,1
22,46,4,4,1,0,1,1,4,0,1
717,43,4,4,3,1,1,1,4,0,3
34,24,2,3,1,1,1,3,3,0,1
276,47,2,1,5,0,1,2,4,0,1
821,26,3,4,2,1,1,3,3,0,3
1120,39,2,3,10,1,1,3,4,0,1
414,20,2,3,3,1,1,3,4,0,1
675,49,4,3,13,1,1,1,4,0,3
370,38,3,3,5,1,1,1,4,0,1
159,22,2,2,2,1,1,3,1,0,1
287,23,2,4,4,1,1,3,3,0,1
183,48,2,1,3,1,0,4,3,0,1
1143,32,4,4,3,1,1,1,4,0,1
1035,48,4,4,4,0,1,1,4,0,1
532,47,4,4,6,1,0,1,4,0,2
533,43,3,4,2,1,0,2,4,0,2
813,40,3,4,6,1,1,1,3,0,3
1306,34,4,4,3,1,0,3,4,0,2
1292,41,3,4,3,0,1,2,4,0,2
871,28,2,4,4,1,1,3,4,0,3
1076,43,4,4,3,0,1,2,4,0,1
1248,44,3,3,9,1,1,1,1,0,2
1119,38,1,3,4,1,0,2,2,0,1
160,23,1,1,3,1,1,2,1,1,1
1275,30,2,3,5,1,1,3,1,1,2
632,39,4,4,3,0,1,1,4,0,2
952,26,3,4,4,1,1,2,4,0,3
127,36,2,3,2,1,1,3,2,1,1
6,38,2,3,6,1,1,3,2,0,1
941,36,1,3,6,1,1,3,2,0,3
581,48,4,4,7,0,1,1,4,0,2
80,24,4,4,0,0,1,1,4,0,1
904,25,1,2,3,1,1,2,3,0,3
187,36,2,3,4,1,1,3,1,1,1
1066,49,1,2,8,1,1,3,1,1,1
1012,29,3,4,4,1,1,1,4,0,1
364,29,3,2,0,1,1,2,2,0,1
415,33,3,3,6,1,1,3,4,0,2
1084,28,2,4,0,1,1,3,1,0,1
192,44,1,1,11,1,1,4,1,1,1
534,44,4,4,7,1,1,3,2,0,2
181,25,2,4,1,1,1,2,2,0,1
214,43,1,3,8,1,1,3,1,0,1
485,47,3,4,11,1,0,2,3,0,2
1161,24,4,4,4,1,1,1,4,0,1
648,17,2,2,1,1,1,3,2,0,3
122,26,3,4,2,1,1,3,3,0,1
1317,41,4,4,4,0,1,1,4,0,2
358,49,2,3,0,1,1,1,2,0,1
559,29,4,3,4,1,0,3,2,0,2
605,30,4,4,1,0,1,2,4,0,2
416,46,4,3,5,1,1,1,4,0,2
872,26,3,3,3,1,1,3,3,0,3
724,32,4,4,3,1,1,1,4,0,3
474,47,4,4,8,1,1,1,4,0,2
578,35,4,4,3,1,1,2,3,0,2
403,43,1,2,1,1,1,3,4,1,1
284,29,2,4,2,1,0,4,4,1,1
702,29,1,2,5,1,0,1,2,0,3
1443,21,2,2,0,0,1,4,4,0,3
754,24,2,3,2,1,1,2,1,0,3
1181,40,2,2,6,1,1,2,2,1,1
386,44,4,4,3,1,0,1,4,1,1
667,27,2,4,3,1,1,4,4,0,3
331,35,1,2,0,1,0,4,4,0,1
774,32,4,4,2,1,0,3,4,0,3
1005,48,1,1,1,1,0,3,3,1,1
868,23,4,4,3,1,1,3,3,0,3
653,48,4,4,16,1,1,1,4,0,3
447,35,4,4,5,0,0,1,4,0,2
691,29,2,4,3,1,1,3,3,0,3
101,19,2,3,0,1,0,2,2,0,1
446,39,4,4,3,1,1,1,4,0,2
740,29,1,3,5,1,1,3,3,0,3
1082,30,4,4,1,1,0,1,4,0,1
1356,30,3,4,3,0,1,3,3,0,3
207,31,3,4,0,1,0,2,3,0,1
726,24,4,4,1,1,1,1,3,0,3
788,30,3,4,3,1,1,2,3,0,3
1379,37,4,4,1,0,1,1,4,0,3
94,47,1,2,3,1,1,1,3,0,1
430,23,4,4,1,1,1,1,2,0,2
288,22,2,1,0,1,1,3,2,0,1
1094,38,1,2,6,1,1,2,1,1,1
768,25,4,4,1,0,1,1,4,0,3
1263,45,4,4,3,1,1,1,4,0,2
1258,29,3,4,3,1,1,1,3,0,2
844,24,3,4,1,1,1,3,4,0,3
1264,37,4,4,4,1,1,1,4,0,2
1337,21,3,4,1,1,0,3,4,0,3
1015,22,4,4,0,1,1,3,2,0,1
725,25,4,4,1,0,1,3,3,0,3
801,21,2,2,1,1,1,4,3,0,3
916,26,4,4,2,1,0,1,4,0,3
142,47,4,4,1,1,0,1,3,0,1
1169,31,1,1,6,1,1,3,2,0,1
1287,24,4,4,1,0,1,2,3,0,2
489,26,3,4,3,1,1,3,4,0,2
743,27,2,4,1,1,1,3,3,0,3
1212,21,2,4,3,1,1,3,2,0,1
804,36,2,2,5,1,1,3,4,0,3
964,32,4,4,4,1,0,1,4,0,3
1298,39,3,4,5,1,1,3,4,0,2
1074,38,1,2,8,1,1,3,3,1,1
253,26,4,4,1,1,0,1,4,0,1
1323,21,3,3,1,0,1,3,2,0,3
936,43,3,3,2,0,0,3,4,0,3
455,32,3,3,2,1,0,3,4,0,2
538,31,3,4,4,1,1,1,3,0,2
874,24,4,3,3,1,1,3,3,0,3
268,38,3,3,7,1,1,3,1,0,1
765,30,3,4,4,1,1,3,3,0,3
545,44,4,4,7,1,1,2,4,0,2
1444,22,4,4,2,1,1,3,4,0,3
118,49,4,3,5,1,1,2,3,0,1
413,25,2,2,2,1,1,3,1,0,1
1123,47,2,4,2,1,1,3,2,1,1
174,25,3,2,2,1,1,3,2,0,1
1199,31,3,4,2,1,1,1,4,0,1
400,39,1,2,2,1,1,3,1,1,1
1129,28,4,4,2,1,1,1,3,0,1
93,38,2,2,1,1,0,3,2,0,1
1007,31,3,4,2,1,1,3,3,0,1
311,36,3,3,2,1,0,2,4,0,1
518,33,3,4,5,0,1,3,3,0,2
1078,37,3,4,7,1,1,3,4,0,1
153,23,4,4,2,1,1,2,4,0,1
920,19,4,4,1,1,1,3,2,0,3
1398,28,2,4,7,1,1,3,3,0,3
443,32,4,4,2,0,0,1,4,0,2
1280,29,3,4,3,1,1,1,3,0,2
1401,30,3,4,3,1,1,3,3,0,3
1047,28,3,4,1,0,1,2,2,0,1
1054,25,4,4,1,1,1,1,4,0,1
225,32,4,4,4,1,0,1,3,0,1
1024,27,4,4,1,0,0,2,4,0,1
1141,48,4,4,1,0,1,1,4,0,1
713,26,4,4,4,1,1,3,4,0,3
435,45,4,4,7,1,1,1,4,0,2
179,49,2,1,10,1,0,2,4,0,1
1403,26,4,4,3,1,1,3,2,0,3
508,32,4,4,3,0,1,3,3,0,2
32,26,2,4,0,1,0,1,2,0,1
1205,32,1,3,4,1,1,2,2,1,1
38,42,2,2,3,1,1,3,4,0,1
24,48,4,4,5,1,1,1,4,0,1
29,43,1,2,8,1,1,2,4,0,1
199,32,2,4,2,1,1,3,3,0,1
832,21,3,4,2,1,1,3,3,0,3
1139,47,2,3,12,1,1,3,1,0,1
180,34,4,4,2,1,0,1,4,0,1
823,30,3,3,3,1,1,3,1,0,3
1415,36,3,4,9,1,1,3,4,0,3
264,31,2,4,5,1,1,3,2,0,1
126,45,4,4,1,1,1,1,3,0,1
1081,49,4,4,6,0,0,1,4,0,1
719,41,4,4,5,1,1,1,4,0,3
295,49,3,4,6,1,1,1,4,0,1
794,24,3,3,3,1,0,2,1,0,3
652,30,2,2,4,1,1,2,4,0,3
660,25,2,3,1,1,1,3,1,0,3
1419,41,1,4,5,1,0,2,4,0,3
105,40,3,3,3,1,1,3,2,0,1
347,32,1,2,4,1,1,3,2,1,1
745,26,3,4,4,1,1,2,3,0,3
922,35,1,2,5,1,1,2,2,1,3
419,36,3,3,5,1,0,1,3,0,2
402,40,2,2,8,1,1,2,2,0,1
509,35,4,4,5,1,0,1,3,0,2
1073,48,3,4,5,1,1,2,3,0,1
1207,27,4,4,3,1,1,1,4,0,1
669,35,2,3,6,1,0,3,3,0,3
915,47,4,4,5,1,1,1,3,0,3
231,26,2,4,1,1,1,1,3,0,1
730,30,4,4,2,1,0,2,2,0,3
703,29,2,3,4,1,1,2,1,0,3
869,28,3,4,5,1,1,2,4,0,3
1330,43,4,4,5,0,1,1,4,0,3
1214,42,4,4,4,1,1,3,4,0,2
716,34,2,4,4,1,1,3,3,0,3
125,31,3,4,2,1,1,1,2,1,1
687,36,4,4,6,0,1,1,2,1,3
1293,28,3,4,2,0,1,3,3,0,2
551,33,4,4,3,1,1,3,3,0,2
747,44,4,4,11,1,1,1,4,0,3
607,33,3,4,3,0,1,2,4,0,2
1376,29,3,4,5,1,1,3,3,0,3
1044,31,4,4,3,1,0,2,3,0,1
808,29,2,4,4,1,0,2,4,0,3
1032,49,2,3,4,1,1,2,3,0,1
540,27,3,3,1,1,0,3,4,0,2
577,43,4,4,3,0,1,1,4,0,2
796,28,4,4,5,1,1,2,4,0,3
1121,45,2,3,6,1,1,3,2,1,1
398,19,2,2,0,1,1,2,2,0,1
1463,30,1,3,2,1,1,3,4,0,3
1430,32,2,4,5,1,1,3,4,0,3
89,24,2,2,3,1,0,2,1,0,1
888,25,3,4,3,1,0,3,4,0,3
191,31,3,4,3,1,0,3,2,0,1
1138,48,3,4,11,1,1,1,4,0,1
1194,47,4,4,1,1,1,1,4,0,1
897,47,4,3,4,1,1,1,3,0,3
1368,28,2,3,3,1,1,2,4,0,3
1051,36,1,4,2,1,1,2,2,0,1
248,27,4,4,1,1,1,1,2,0,1
1189,37,3,4,0,1,1,3,4,0,1
70,47,2,3,4,1,1,2,3,0,1
799,37,4,4,3,1,1,2,4,0,3
852,29,3,3,4,1,1,3,4,0,3
699,39,4,3,1,1,0,2,2,0,3
1420,44,4,4,5,1,1,3,4,0,3
1457,27,3,3,5,1,1,2,4,0,3
1130,34,2,4,6,1,0,3,4,0,1
880,21,3,4,1,1,1,3,2,0,3
771,20,4,4,2,1,1,1,3,0,3
377,32,2,4,5,1,1,2,3,0,1
951,25,3,4,3,1,1,3,4,0,3
672,24,3,3,2,1,1,3,3,0,3
366,42,3,3,3,1,0,2,4,0,1
986,25,4,4,1,1,1,1,4,0,3
859,24,3,4,2,1,1,3,3,0,3
514,32,4,4,2,1,0,1,4,0,2
851,41,4,4,8,1,1,1,4,0,3
1174,18,3,2,1,1,1,3,1,0,1
606,36,3,4,3,0,0,3,4,0,2
333,47,4,4,1,0,1,1,4,0,1
1224,40,4,4,4,1,1,1,4,0,2
1128,42,4,4,3,1,0,1,4,0,1
1152,46,4,4,10,1,1,1,3,0,1
563,43,3,4,5,1,1,3,2,1,2
241,40,3,3,4,1,1,2,2,0,1
845,32,2,3,4,1,0,2,2,0,3
1030,35,3,4,6,1,0,2,2,0,1
1183,42,4,4,0,0,0,3,4,0,1
222,37,1,2,2,1,1,2,2,1,1
549,41,3,4,5,1,1,1,3,0,2
1190,24,3,4,2,1,1,2,2,0,1
1191,25,4,4,0,0,1,2,4,0,1
892,22,2,4,1,1,1,3,3,0,3
1085,30,4,2,0,1,0,3,3,0,1
526,33,2,3,5,1,0,2,1,0,2
445,33,2,2,6,1,0,3,4,0,2
1086,27,4,4,2,1,0,1,4,0,1
943,21,3,3,1,1,1,3,2,0,3
1061,30,1,3,1,1,1,3,4,0,1
1344,37,3,3,11,1,1,1,2,0,3
640,24,3,4,5,1,1,1,2,1,2
625,41,4,4,7,1,1,2,4,0,2
14,38,3,4,2,1,1,2,3,0,1
165,37,3,4,1,1,1,2,4,0,1
618,34,4,4,6,1,1,3,4,0,2
1301,25,3,1,2,1,0,3,4,0,2
1036,42,4,4,3,1,1,1,4,0,1
1332,24,1,2,3,1,1,3,2,0,3
439,30,2,4,1,1,0,3,4,0,2
1168,34,1,3,4,1,0,3,4,0,1
405,23,3,3,2,1,1,3,3,0,1
593,27,4,4,2,1,0,1,3,0,2
1296,33,4,4,3,0,1,2,4,0,2
1254,37,4,4,7,1,1,1,4,0,2
477,21,4,4,1,1,1,1,4,0,2
1229,27,3,3,2,1,1,3,4,0,2
1313,41,4,4,6,1,1,1,4,0,2
25,40,2,4,8,1,1,3,3,0,1
589,44,4,4,5,1,1,1,4,0,2
1105,36,2,3,6,1,1,2,3,0,1
361,43,3,3,4,1,1,2,4,0,1
133,28,3,4,1,1,1,3,1,1,1
1,45,1,3,10,1,1,3,4,0,1
293,40,4,4,3,1,1,3,4,0,1
1043,45,1,1,0,0,0,2,1,0,1
1053,35,2,3,8,1,1,3,3,1,1
886,28,3,3,2,0,1,2,3,0,3
1063,45,2,3,11,1,1,2,3,0,1
583,24,4,4,1,1,1,1,4,0,2
350,19,2,2,2,1,1,3,1,0,1
1107,47,2,2,7,1,1,2,2,0,1
881,21,1,3,1,1,1,3,3,1,3
896,39,4,4,2,0,1,3,4,0,3
495,48,4,4,4,0,1,1,4,0,2
330,32,3,4,1,0,1,2,4,0,1
53,34,4,4,1,0,0,2,3,0,1
790,34,4,4,2,1,1,1,4,0,3
1197,34,3,3,6,1,1,2,3,0,1
913,28,4,4,2,1,1,1,4,0,3
488,35,3,3,4,1,1,3,2,0,2
769,34,4,4,3,1,1,1,4,0,3
1411,25,4,4,2,1,1,2,3,0,3
1431,27,4,4,2,0,0,2,4,0,3
544,38,4,4,6,1,1,3,3,0,2
149,43,4,4,5,1,1,1,4,0,1
516,36,4,4,4,0,1,2,4,0,2
885,23,3,2,1,1,1,3,3,0,3
751,24,4,4,2,1,1,1,4,0,3
1006,23,4,4,0,1,0,1,4,0,1
494,25,4,4,2,1,1,2,4,0,2
639,25,2,4,3,1,1,1,4,1,2
464,36,4,4,4,0,1,1,4,0,2
143,35,4,4,2,0,1,3,3,0,1
1150,31,3,3,2,1,0,3,3,0,1
1176,32,2,2,2,1,1,2,4,0,1
238,39,3,3,6,1,1,3,3,0,1
752,39,4,4,3,1,1,2,4,0,3
592,32,3,4,5,1,1,1,2,0,2
629,39,4,4,5,1,1,1,4,0,2
924,32,1,2,6,0,1,2,3,0,3
830,19,4,4,1,1,1,2,4,0,3
1471,33,3,3,4,1,0,2,2,0,3
247,23,4,4,2,1,1,1,4,0,1
1013,38,1,2,12,1,1,2,3,0,1
573,25,2,3,1,1,0,4,4,0,2
1132,43,4,4,5,1,1,1,3,0,1
383,25,2,3,1,1,0,2,1,0,1
999,46,1,2,9,1,0,3,4,1,3
337,30,4,4,3,1,0,2,4,0,1
339,28,3,4,3,1,1,2,1,0,1
604,40,3,4,2,0,1,3,4,0,2
1068,30,4,4,4,1,1,2,4,0,1
818,25,2,4,3,1,1,3,2,0,3
601,37,4,4,3,0,1,3,4,0,2
744,37,4,4,4,1,1,3,2,0,3
215,27,3,4,2,1,0,2,2,0,1
168,22,4,4,0,1,1,2,4,0,1
137,21,3,3,2,1,1,2,2,0,1
901,30,3,4,2,1,1,1,2,0,3
422,32,4,4,2,1,1,1,4,0,2
220,22,2,3,1,1,1,3,3,0,1
978,22,3,4,2,1,1,2,4,0,3
1249,24,4,4,1,1,1,2,4,0,2
454,36,4,4,2,1,1,2,4,0,2
519,43,2,4,13,1,1,2,3,0,2
355,27,2,2,1,1,0,3,2,1,1
992,34,3,4,3,0,0,3,4,0,3
757,34,4,4,2,1,1,3,3,0,3
1160,20,3,4,0,1,1,3,3,0,1
1269,38,2,2,8,1,1,2,2,0,2
194,18,3,4,0,1,0,3,1,0,1
1407,36,2,3,6,1,1,2,4,0,3
401,30,3,4,5,1,1,1,4,0,1
665,33,3,4,8,1,1,3,4,0,3
1284,24,4,4,2,1,1,2,4,0,2
1456,40,2,2,4,0,0,2,4,0,3
731,25,1,2,2,1,1,2,1,0,3
791,31,3,4,5,1,1,3,1,0,3
1034,42,4,4,1,1,1,2,4,0,1
322,45,3,4,2,0,1,1,4,0,1
1231,27,4,4,3,1,1,1,3,0,2
636,34,2,2,8,1,1,2,2,0,2
1093,25,3,3,1,1,1,2,2,0,1
673,45,1,3,3,1,1,3,2,0,3
997,28,2,3,6,1,1,2,4,0,3
1218,49,3,4,4,1,1,3,4,0,2
649,28,1,2,4,1,1,2,3,0,3
572,36,3,4,4,0,0,2,4,0,2
312,25,1,4,2,1,0,3,3,1,1
1136,26,3,4,1,0,1,2,2,0,1
325,25,4,4,1,0,1,2,3,0,1
900,21,3,3,1,1,1,2,2,0,3
612,37,4,4,4,0,0,2,4,0,2
855,26,3,4,3,1,1,3,3,0,3
983,33,4,4,2,1,1,2,4,0,3
432,25,3,4,3,1,1,2,3,0,2
955,35,3,2,9,1,0,3,4,0,3
718,32,4,4,3,0,1,1,4,0,3
259,39,3,3,1,0,1,3,4,0,1
622,46,4,4,4,1,1,1,4,0,2
441,48,4,3,7,1,0,2,4,0,2
795,19,4,4,2,1,1,1,4,0,3
281,21,2,4,2,1,1,3,1,0,1
407,47,3,3,2,1,1,2,4,0,1
1211,49,1,2,5,1,0,2,2,1,1
442,46,4,4,2,1,0,1,4,0,2
634,34,3,3,6,1,1,3,4,0,2
1309,37,4,4,4,0,1,2,4,0,2
899,43,4,4,5,1,1,1,4,0,3
459,42,4,4,8,0,1,1,4,0,2
92,26,2,2,3,1,1,2,1,0,1
574,41,4,4,4,0,0,2,4,0,2
977,38,4,4,3,0,0,3,3,1,3
1460,22,4,3,1,1,1,2,2,0,3
503,28,3,3,3,1,1,1,2,0,2
686,33,3,3,3,1,1,3,3,0,3
475,34,4,4,3,1,1,1,4,0,2
931,35,4,4,3,0,1,3,4,0,3
557,30,3,4,2,1,1,1,4,0,2
658,32,2,3,5,1,0,2,3,0,3
1154,25,3,2,1,1,0,3,3,0,1
562,41,3,3,5,1,1,1,4,0,2
609,45,3,3,6,0,1,2,4,0,2
197,36,3,4,6,1,1,2,4,0,1
1239,41,4,4,8,1,1,1,4,0,2
750,24,2,4,2,1,1,1,4,0,3
1112,18,3,4,1,1,1,3,3,0,1
17,39,2,2,6,1,1,2,4,0,1
1395,30,3,2,3,1,1,3,3,0,3
481,35,1,3,7,1,0,2,3,1,2
575,32,4,4,4,0,0,2,4,0,2
471,34,2,3,2,1,1,3,3,0,2
1336,29,2,3,3,1,1,3,3,0,3
1281,40,4,4,5,1,1,1,3,0,2
763,22,3,4,3,1,1,2,3,0,3
781,37,4,4,3,1,1,2,4,0,3
135,26,3,3,3,1,0,2,4,0,1
635,33,3,3,5,1,1,3,4,0,2
460,39,4,4,4,1,0,1,4,0,2
1100,24,4,4,1,1,0,1,3,0,1
552,29,4,4,3,1,0,3,3,0,2
1390,35,1,2,5,1,1,3,3,0,3
1385,28,4,4,1,1,1,2,4,0,3
1089,28,1,4,0,1,0,4,1,0,1
1414,23,4,3,2,1,0,2,3,0,3
1230,32,4,4,4,1,1,1,2,0,2
8,27,2,3,3,1,1,3,4,0,1
77,45,3,4,3,1,1,1,4,0,1
58,21,2,3,0,1,1,3,4,0,1
959,36,2,4,8,1,1,1,4,0,3
762,28,2,2,5,1,0,2,4,0,3
884,22,3,4,1,0,0,1,4,0,3
424,42,2,3,7,1,1,3,4,0,2
480,19,4,4,1,1,1,2,3,0,2
496,31,4,4,3,1,1,1,4,0,2
1446,45,2,3,3,0,0,2,4,0,3
1343,37,3,3,6,1,1,3,3,0,3
412,47,1,1,1,1,1,3,4,0,1
1165,32,4,4,1,0,1,1,4,0,1
88,27,2,4,4,1,1,1,4,0,1
998,36,2,4,11,1,1,1,4,1,3
819,30,1,3,4,1,1,3,4,0,3
323,21,1,3,0,1,0,3,4,1,1
766,38,4,4,5,1,1,2,3,0,3
321,40,1,1,2,1,0,3,4,0,1
60,42,3,3,10,1,1,3,3,0,1
926,46,2,3,6,0,0,3,4,0,3
836,27,4,4,3,1,1,3,4,1,3
979,45,4,4,3,1,1,1,4,0,3
1325,39,4,4,3,1,0,1,4,0,3
296,49,3,4,9,1,1,1,4,0,1
1339,24,4,4,2,1,1,3,3,0,3
271,28,3,4,1,1,1,3,4,0,1
46,32,4,4,2,1,1,2,3,0,1
1110,34,2,2,9,1,0,2,3,0,1
1133,28,3,4,0,1,0,3,4,0,1
360,18,3,4,1,1,1,3,1,0,1
16,48,1,1,7,1,1,2,4,0,1
493,39,4,4,5,1,1,2,4,0,2
815,25,2,4,3,1,1,3,3,0,3
193,24,3,3,2,1,1,3,3,0,1
1439,32,3,4,5,0,1,1,4,0,3
867,23,1,2,3,1,1,3,2,1,3
806,35,4,4,2,1,0,1,4,0,3
539,27,4,4,3,1,1,1,4,0,2
438,28,2,3,2,1,1,3,3,0,2
140,33,4,4,2,1,1,1,3,0,1
1222,36,4,4,3,1,0,1,4,0,2
889,33,4,4,4,1,1,2,3,0,3
467,37,4,3,8,1,1,1,4,0,2
1038,23,3,3,1,1,0,2,4,0,1
1111,28,4,4,1,1,0,1,3,0,1
265,22,4,4,0,1,1,1,3,0,1
262,29,3,3,3,1,0,2,4,0,1
1246,21,4,4,1,1,1,1,4,0,2
1016,20,3,4,0,1,1,3,3,0,1
755,35,4,4,4,1,1,1,4,0,3
1283,44,3,4,6,1,1,3,2,0,2
3,42,3,2,9,1,1,3,3,0,1
1378,30,4,4,1,1,0,3,2,0,3
473,36,4,4,4,0,0,1,4,0,2
661,43,4,4,3,1,1,1,4,0,3
139,20,4,4,1,1,1,1,4,0,1
1091,20,3,4,2,1,1,3,3,0,1
515,30,4,1,4,1,1,3,3,0,2
342,23,4,4,0,0,1,2,4,0,1
1080,25,3,4,3,1,1,1,1,0,1
1328,17,3,4,1,1,1,3,3,0,3
940,27,2,4,4,1,1,3,4,0,3
51,49,4,4,7,0,1,2,4,0,1
530,36,3,2,6,1,1,3,2,0,2
1329,32,2,4,3,1,1,3,4,0,3
434,20,3,4,1,1,1,3,2,0,2
537,34,4,4,5,1,1,3,4,0,2
695,22,4,4,1,1,1,2,3,0,3
1381,36,1,2,4,1,1,3,1,1,3
1210,33,3,3,3,1,1,3,4,0,1
555,21,2,2,1,1,1,3,2,0,2
1153,26,2,3,3,1,1,3,4,0,1
950,31,3,4,4,1,0,3,3,0,3
359,25,2,3,0,1,1,2,4,0,1
1268,23,4,4,1,1,1,3,3,0,2
255,36,4,4,2,1,1,3,3,0,1
390,33,4,4,0,1,0,3,3,0,1
720,32,4,4,3,0,1,1,4,0,3
1178,22,3,3,2,1,1,2,4,0,1
371,37,2,3,4,1,1,2,3,0,1
1472,17,3,3,1,1,1,2,4,0,3
1437,27,4,4,1,1,1,1,4,0,3
158,45,1,4,5,1,1,1,2,1,1
411,42,2,4,2,1,1,3,4,0,1
1003,25,4,4,0,1,0,3,4,0,1
1295,31,2,2,4,1,1,4,3,1,2
484,31,3,3,2,1,0,3,3,0,2
146,45,4,4,4,1,1,2,3,0,1
1418,47,4,4,5,1,1,3,2,0,3
826,26,3,4,2,1,1,1,3,0,3
843,28,3,4,2,1,1,3,4,0,3
576,41,4,4,4,0,0,2,4,0,2
837,26,2,3,2,1,1,2,3,0,3
1467,29,4,4,3,1,1,1,4,0,3
588,29,4,4,2,1,1,3,4,0,2
290,24,4,4,1,1,1,2,2,0,1
862,23,3,2,2,1,0,3,2,0,3
213,48,1,3,5,1,1,3,2,0,1
1382,36,2,2,7,1,0,2,2,1,3
1204,38,2,2,10,1,1,3,2,0,1
380,37,3,3,6,1,1,2,2,0,1
99,27,2,3,5,1,1,2,1,0,1
1159,43,3,4,2,0,1,3,4,0,1
1200,26,1,3,1,1,1,3,1,0,1
504,40,2,3,6,1,1,1,2,0,2
596,40,4,4,6,1,1,1,3,0,2
1470,39,3,3,8,1,0,1,4,0,3
39,28,2,2,1,1,1,2,4,0,1
340,30,2,3,4,1,0,3,2,0,1
2,43,2,3,7,1,1,3,4,0,1
451,26,2,4,2,1,1,1,3,0,2
1092,28,3,3,5,1,1,3,3,0,1
1232,28,4,4,2,0,1,1,4,0,2
608,41,4,4,5,0,1,2,4,0,2
420,37,3,4,3,1,1,1,3,0,2
1277,26,3,4,3,1,1,1,4,0,2
846,22,1,2,3,1,1,3,1,1,3
1363,22,4,4,1,1,1,2,4,0,3
1433,42,4,4,5,0,1,2,4,0,3
111,32,3,3,7,1,0,2,3,0,1
224,47,4,4,4,1,1,1,4,0,1
942,17,2,2,0,1,0,3,2,0,3
73,29,2,3,1,1,1,1,2,0,1
47,45,4,4,0,1,1,2,4,0,1
638,47,1,1,8,1,1,3,4,1,2
113,31,2,2,4,1,1,3,3,0,1
96,41,2,3,1,1,0,2,3,0,1
1238,26,3,4,2,1,1,3,3,0,2
1147,45,4,4,1,1,1,1,4,0,1
106,22,4,4,0,1,1,1,1,0,1
1041,24,3,3,2,1,0,3,2,0,1
1122,30,3,4,4,0,1,2,3,0,1
1346,35,2,3,6,1,1,2,3,0,3
1406,36,1,1,5,1,1,3,3,0,3
1389,38,4,4,4,1,0,1,4,0,3
